Strategy,Position,Name,Salary,FPPG
Filtered_Lineup_21,3B,Alex Bregman,3400,11.91891892
Filtered_Lineup_21,SS,Jeremy Pena,3200,11.26593353
Filtered_Lineup_21,OF1,Daulton Varsho,3100,12.88387077
Filtered_Lineup_21,OF2,Everson Pereira,2000,12.19999981
Filtered_Lineup_21,OF3,Cody Bellinger,3400,11.25
Filtered_Lineup_21,P,Paul Skenes,10800,38.625
Filtered_Lineup_22,C,Shea Langeliers,3500,11.29775281
Filtered_Lineup_22,1B,Freddie Freeman,3400,10.89056627
Filtered_Lineup_22,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_22,3B,Romy Gonzalez,2900,10.1983869
Filtered_Lineup_22,SS,Geraldo Perdomo,3400,11.70508433
Filtered_Lineup_22,OF1,Pete Crow-Armstrong,3900,12.80695695
Filtered_Lineup_22,OF2,Juan Soto,4000,12.84396573
Filtered_Lineup_22,OF3,Corbin Carroll,4300,13.51568604
Filtered_Lineup_22,P,Victor Mederos,5500,9.0
Filtered_Lineup_23,C,William Contreras,3100,9.941964286
Filtered_Lineup_23,1B,Willson Contreras,3000,10.1584073
Filtered_Lineup_23,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_23,3B,Jazz Chisholm Jr.,3700,11.51494239
Filtered_Lineup_23,SS,Corey Seager,3100,10.84482759
Filtered_Lineup_23,OF1,Daulton Varsho,3100,12.88387077
Filtered_Lineup_23,OF2,Ramon Laureano,3100,10.08478248
Filtered_Lineup_23,OF3,Hunter Goodman,3000,10.53846154
Filtered_Lineup_23,P,Spencer Strider,9700,32.53333333
Filtered_Lineup_24,C,Will Smith,3400,11.02717391
Filtered_Lineup_24,1B,Spencer Torkelson,3200,10.77192982
Filtered_Lineup_24,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_24,3B,Maikel Garcia,3100,10.45338983
Filtered_Lineup_24,SS,Zach Neto,3300,12.02400024
Filtered_Lineup_24,OF1,Byron Buxton,3800,13.86976801
Filtered_Lineup_24,OF2,Everson Pereira,2000,12.19999981
Filtered_Lineup_24,OF3,Daulton Varsho,3100,12.88387077
Filtered_Lineup_24,P,Robbie Ray,9900,35.375
Filtered_Lineup_25,C,Reese McGuire,2500,7.93333322
Filtered_Lineup_25,1B,Spencer Torkelson,3200,10.77192982
Filtered_Lineup_25,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_25,3B,Romy Gonzalez,2900,10.1983869
Filtered_Lineup_25,SS,Francisco Lindor,3400,11.37068966
Filtered_Lineup_25,OF1,James Wood,3700,12.24051745
Filtered_Lineup_25,OF2,Christian Yelich,3400,11.56486442
Filtered_Lineup_25,OF3,Aaron Judge,4700,15.5403672
Filtered_Lineup_25,P,Emmet Sheehan,7700,24.42857143
