player,category,source,line,prediction,model_prob_over,implied_prob,recommended_bet,expected_value,edge,confidence,odds,model_confidence,confidence_adjusted_edge,market_category,kelly_size_full,kelly_size_quarter
Ryan Fernandez,pitcher_strikeouts,prizepicks,6.0,3.0845122566935284,0.025968323388481984,0.5238095238095238,UNDER,1.045466520884188,1.045466520884188,VERY_HIGH,-110,0.9518225221484621,0.9950985807297656,PREMIUM,0.9491926952862053,0.23729817382155133
Jeff Hoffman,pitcher_strikeouts,prizepicks,6.5,2.881826082802397,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9212281248681963,0.9940051467327837,PREMIUM,0.9807321594068581,0.24518303985171452
Jeff Hoffman,pitcher_strikeouts,prizepicks,6.5,2.669217864020676,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9212281248681963,0.9940051467327837,PREMIUM,0.9807321594068581,0.24518303985171452
Jeff Hoffman,pitcher_strikeouts,prizepicks,6.5,2.797662592793568,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9212281248681963,0.9940051467327837,PREMIUM,0.9807321594068581,0.24518303985171452
Jeff Hoffman,pitcher_strikeouts,prizepicks,6.5,2.4746258285294784,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9212281248681963,0.9940051467327837,PREMIUM,0.9807321594068581,0.24518303985171452
Shota Imanaga,pitcher_strikeouts,prizepicks,6.5,3.6507938283951,0.028751302409860124,0.5238095238095238,UNDER,1.0396222649392937,1.0396222649392937,VERY_HIGH,-110,0.9517468903932031,0.9894572578395116,PREMIUM,0.9435931698282956,0.2358982924570739
Austin Wynns,total_bases,prizepicks,3.5,0.8895547376948464,0.04090345418795227,0.5238095238095238,UNDER,1.0141027462053003,1.0141027462053003,VERY_HIGH,-110,0.9746739350904257,0.9884195142299272,PREMIUM,0.9187619206066533,0.22969048015166332
Austin Wynns,total_bases,prizepicks,3.5,0.8895547376948464,0.04090345418795227,0.5238095238095238,UNDER,1.0141027462053003,1.0141027462053003,VERY_HIGH,-110,0.9746739350904257,0.9884195142299272,PREMIUM,0.9187619206066533,0.22969048015166332
Austin Wynns,total_bases,prizepicks,3.5,0.8895547376948464,0.04090345418795227,0.5238095238095238,UNDER,1.0141027462053003,1.0141027462053003,VERY_HIGH,-110,0.9746739350904257,0.9884195142299272,PREMIUM,0.9187619206066533,0.22969048015166332
Austin Wynns,total_bases,prizepicks,3.5,0.8895547376948464,0.04090345418795227,0.5238095238095238,UNDER,1.0141027462053003,1.0141027462053003,VERY_HIGH,-110,0.9746739350904257,0.9884195142299272,PREMIUM,0.9187619206066533,0.22969048015166332
CJ Kayfus,total_bases,prizepicks,4.5,1.8096193302139731,0.03643954746850253,0.5238095238095238,UNDER,1.023476950316145,1.023476950316145,VERY_HIGH,-110,0.9653406748333064,0.9880039298945218,PREMIUM,0.9279567709270934,0.23198919273177335
Ryan Fernandez,pitcher_strikeouts,underdog,6.5,3.6697138307066695,0.029589751004038045,0.5238095238095238,UNDER,1.0378615228915202,1.0378615228915202,VERY_HIGH,-110,0.9518225221484621,0.9878599723594506,PREMIUM,0.9418999416462879,0.23547498541157197
Ryan Yarbrough,pitcher_strikeouts,prizepicks,4.5,1.6730733165836824,0.02974072942819017,0.5238095238095238,UNDER,1.0375444682008008,1.0375444682008008,VERY_HIGH,-110,0.9518225221484621,0.9875581925640711,PREMIUM,0.9415947358557573,0.23539868396393931
Ryan Yarbrough,pitcher_strikeouts,underdog,4.5,1.6730733165836824,0.02974072942819017,0.5238095238095238,UNDER,1.0375444682008008,1.0375444682008008,VERY_HIGH,-110,0.9518225221484621,0.9875581925640711,PREMIUM,0.9415947358557573,0.23539868396393931
